order_id,order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
1,SO54496,282,5400,3/16/2013,3/23/2013,3/28/2013,25,1,25
2,SO54496,289,5400,3/16/2013,3/23/2013,3/28/2013,5,1,5
3,SO54496,259,5400,3/16/2013,3/23/2013,3/28/2013,2,1,2
4,SO54497,174,9281,3/16/2013,3/23/2013,3/28/2013,22,1,22
5,SO54497,280,9281,3/16/2013,3/23/2013,3/28/2013,9,1,9
6,SO54498,174,4825,3/16/2013,3/23/2013,3/28/2013,22,1,22
7,SO54498,277,4825,3/16/2013,3/23/2013,3/28/2013,54,1,54
8,SO54499,289,4286,3/16/2013,3/23/2013,3/28/2013,5,1,5
9,SO54499,246,4286,3/16/2013,3/23/2013,3/28/2013,35,1,35
10,SO54500,289,1472,3/16/2013,3/23/2013,3/28/2013,5,1,5
11,SO54500,284,1472,3/16/2013,3/23/2013,3/28/2013,35,1,35
12,SO54500,244,1472,3/16/2013,3/23/2013,3/28/2013,35,1,35
13,SO54500,166,1472,3/16/2013,3/23/2013,3/28/2013,9,1,9
14,SO54501,290,2777,3/16/2013,3/23/2013,3/28/2013,4,1,4
15,SO54501,287,2777,3/16/2013,3/23/2013,3/28/2013,33,1,33
16,SO54502,286,5302,3/16/2013,3/23/2013,3/28/2013,25,1,25
17,SO54502,290,5302,3/16/2013,3/23/2013,3/28/2013,4,1,4
18,SO54502,166,5302,3/16/2013,3/23/2013,3/28/2013,9,1,9
19,SO54502,245,5302,3/16/2013,3/23/2013,3/28/2013,35,1,35
20,SO54503,290,582,3/16/2013,3/23/2013,3/28/2013,4,1,4
21,SO54503,259,582,3/16/2013,3/23/2013,3/28/2013,2,1,2
22,SO54504,290,9149,3/16/2013,3/23/2013,3/28/2013,4,1,4
23,SO54504,259,9149,3/16/2013,3/23/2013,3/28/2013,2,1,2
24,SO54505,283,3822,3/16/2013,3/23/2013,3/28/2013,30,1,30
